name,lat,lon,O+,A+,B+,AB+,O-,A-,B-,AB-,expiry_dates
Government Hospital Blood Bank Thiruchengode,0.0,0.0,6,5,3,6,5,1,5,2,"['2025-11-03', '2025-11-09']"
Vivekanandha Medical Care Hospital Blood Bank,0.0,0.0,5,2,3,4,4,2,1,6,"['2025-11-03', '2025-11-14']"
Government Head Quarters Hospital Blood Bank,11.23657,78.860775,1,5,3,6,3,3,3,4,"['2025-10-28', '2025-11-12']"
Muthu Medical Center Blood Bank (Muthu Charitable Trust),11.238114,78.864898,1,5,4,2,2,1,6,3,"['2025-11-03', '2025-11-17']"
Dhanalakshmi Srinivasan Medical College and Hospital Blood Bank,11.198683,78.872944,6,2,2,4,3,1,6,3,"['2025-10-25', '2025-11-13']"
M/S Kanakesa Thevar Memorial Hospital Blood Bank,0.0,0.0,2,5,5,1,6,3,6,6,"['2025-11-04', '2025-11-11']"
Sree Meenakshi Multi Speciality Hospital Blood Bank (Run by Ayyamperumal and K Dakshinamoorthy Trust),0.0,0.0,1,2,2,6,2,5,5,1,"['2025-10-27', '2025-11-17']"
Government Head Quarters Hospital Blood Bank,10.378804,78.818264,1,1,4,5,2,4,1,1,"['2025-10-29', '2025-11-15']"
Government Hospital Blood Bank,10.180049,79.000136,1,3,5,1,1,2,2,1,"['2025-11-04', '2025-11-21']"
Government Headquarters Hospital Blood Bank,9.363747,78.831928,3,4,2,1,6,4,2,3,"['2025-10-28', '2025-11-22']"
M/S Ramnad Blood Bank( Run by C.Lakshmiammal Memorial Trust),0.0,0.0,1,1,6,4,2,6,2,3,"['2025-10-30', '2025-11-14']"
Government Hospital Blood Bank,11.59695,78.60139,3,4,2,3,3,3,3,4,"['2025-11-04', '2025-11-11']"
Annai Blood Bank,0.0,0.0,6,4,5,4,2,4,6,2,"['2025-11-07', '2025-11-21']"
Government Head Quarters Hospital Blood Bank,11.795825,77.798916,4,3,2,3,1,6,6,4,"['2025-11-05', '2025-11-16']"
Government Mohan Kumaramangalam Medical College Hospital Blood Bank,11.656585,78.153948,2,2,2,4,3,3,4,4,"['2025-11-01', '2025-11-09']"
Sri Gokulam Hospital Blood Bank,11.672702,78.133827,1,2,2,4,2,2,6,1,"['2025-11-03', '2025-11-10']"
Sithi Vinayagar Blood Bank,11.671281,78.151721,3,2,4,6,1,6,6,6,"['2025-10-31', '2025-11-20']"
Vinayaga Mission Kirubananda Variar Medical College Hospital Blood Bank,11.585415,78.06378,6,2,4,1,3,4,2,4,"['2025-11-07', '2025-11-11']"
KSM Blood Bank (Run by Maruti Charitable Trust),11.666537,78.143476,3,3,5,6,2,2,2,2,"['2025-10-30', '2025-11-16']"
Salem Blood Bank,11.659085,78.168204,3,4,5,2,2,1,5,6,"['2025-11-06', '2025-11-15']"
Kurinji Hospital Blood Bank,11.677233,78.135322,5,2,6,1,3,6,1,4,"['2025-11-06', '2025-11-15']"
Maruti Blood Bank,11.672426,78.136187,3,1,6,5,4,4,6,5,"['2025-10-31', '2025-11-21']"
Sivaramji Blood Bank (Unit of Janaseva Trust),0.0,0.0,3,2,6,6,1,3,6,6,"['2025-11-05', '2025-11-14']"
Salem Steel Authority of India Salem Steel Plant,11.654349,78.025247,6,2,3,5,6,1,6,5,"['2025-10-25', '2025-11-22']"
Minu Labs and Blood Bank,11.675357,78.131943,4,4,2,1,4,1,1,5,"['2025-10-26', '2025-11-23']"
S Palaniyandi Mudaliar Memorial Hospital Blood Bank,11.661224,78.192156,1,1,3,4,1,6,5,2,"['2025-11-04', '2025-11-16']"
Sri Shellapha Hospital Blood Bank,11.659832,78.154862,5,3,4,4,3,5,4,5,"['2025-10-30', '2025-11-11']"
M/S SKS Hospital Blood Bank ( Unit of SKS Hospital (I) Private Limited),0.0,0.0,4,4,5,4,3,5,2,2,"['2025-11-01', '2025-11-18']"
KaraiKudi Blood Centre (Run by Vivekananda Trust),0.0,0.0,5,2,2,5,6,1,2,2,"['2025-11-02', '2025-11-15']"
Government Sivagangai Medical College Hospital Blood Bank,9.838881,78.478259,6,6,6,5,5,3,3,2,"['2025-10-30', '2025-11-10']"
Government Head Quarters Hospital Blood Bank,10.063948,78.777174,3,1,2,6,4,5,1,5,"['2025-10-30', '2025-11-19']"
Sri Kaali Blood Bank,10.956521,79.37494,2,2,1,1,5,4,2,4,"['2025-11-02', '2025-11-19']"
Government Head Quarters Hospital Blood Bank,10.969246,79.385655,6,5,3,5,6,6,6,4,"['2025-11-03', '2025-11-09']"
Government Hospital Blood Bank,10.421081,79.317866,2,6,2,5,4,1,1,6,"['2025-11-06', '2025-11-15']"
Thanjavur Medical College Hospital Blood Bank,10.758601,79.106601,6,2,6,6,2,6,6,5,"['2025-10-28', '2025-11-12']"
Sri Kaali Blood Bank,10.785119,79.120603,5,1,2,4,3,3,5,6,"['2025-10-26', '2025-11-19']"
Voluntary Blood Bank,0.0,0.0,3,3,6,5,2,4,3,3,"['2025-10-29', '2025-11-10']"
KMR Blood Bank (Run by KMR Charitable Trust),0.0,0.0,3,4,5,3,3,3,4,3,"['2025-10-27', '2025-11-15']"
Government Raja Mirasudar Hospital,10.785541,79.1366,3,3,5,4,3,5,3,4,"['2025-10-26', '2025-11-10']"
Ambigai Blood Bank,0.0,0.0,3,4,4,3,4,2,5,1,"['2025-11-03', '2025-11-17']"
Lakshminarayana Blood Bank,10.764582,79.134439,1,4,1,1,6,4,3,1,"['2025-11-05', '2025-11-09']"
Indian Red Cross Society Blood Bank,10.776729,79.12912,1,5,6,3,3,2,4,1,"['2025-11-04', '2025-11-11']"
Meenakshi Hospital Blood Bank,10.745435,79.111902,6,6,1,3,5,4,4,1,"['2025-11-06', '2025-11-20']"
Government Lawley Hospital Blood Bank,11.347494,76.792608,4,4,6,4,1,1,3,2,"['2025-11-07', '2025-11-13']"
Government Taluk Hospital Blood Bank,9.676495,77.240608,2,2,5,6,1,5,4,3,"['2025-10-31', '2025-11-20']"
Gudalur Adivasi Hospital Blood Bank (Previously named as Ashwini hospital & under Ashwini trust),11.50223,76.498838,1,6,3,2,4,3,6,3,"['2025-10-31', '2025-11-11']"
"Government Head Quarters Hospital, Ooty",0.0,0.0,2,6,1,3,3,4,5,1,"['2025-10-26', '2025-11-15']"
Government Head quarters Hospital,11.407951,76.700279,5,1,4,5,3,5,3,2,"['2025-11-05', '2025-11-14']"
Military Hospital Blood Bank,11.367257,76.782632,3,3,3,4,4,6,5,1,"['2025-11-05', '2025-11-19']"
Government Head Quarters Hospital Blood Bank,10.123029,77.53294,4,4,3,5,3,2,5,6,"['2025-11-02', '2025-11-17']"
Government Theni Medical College Hospital Blood Bank,10.006927,77.553185,5,6,6,5,5,3,1,6,"['2025-11-02', '2025-11-14']"
Vikram Clinical Blood Bank,0.0,0.0,4,4,3,1,3,6,4,3,"['2025-10-25', '2025-11-10']"
Government Head Quarters Hospital Blood Bank,13.127649,79.91098,3,4,3,1,6,3,1,6,"['2025-11-04', '2025-11-09']"
Government Medical College and Hospital Blood Bank,10.779139,79.606921,6,3,3,4,1,5,4,2,"['2025-10-25', '2025-11-18']"
Sri Venkateswara Hospital Blood Bank,0.0,0.0,6,2,5,5,3,2,1,1,"['2025-11-03', '2025-11-21']"
Government Head Quarters Hospital Blood Bank,9.175646,77.874168,6,6,4,3,3,3,4,3,"['2025-11-08', '2025-11-21']"
Sudiksha Prabhu Hospital Blood Bank and Research Centre,9.172693,77.864944,4,1,6,2,4,6,1,1,"['2025-10-30', '2025-11-21']"
Aarthi Hospital Blood Bank,9.174494,77.866384,6,2,4,6,1,5,3,4,"['2025-10-29', '2025-11-19']"
Government Thoothukudi Medical College Hospital Blood Bank,8.798061,78.136134,6,5,4,3,3,6,5,3,"['2025-11-07', '2025-11-15']"
Tuticorin Blood Bank,8.808076,78.146747,1,6,6,6,6,1,6,3,"['2025-10-27', '2025-11-22']"
Rajesh Tilak Hospital Blood Bank,0.0,0.0,5,4,4,3,4,6,4,3,"['2025-11-05', '2025-11-17']"
M/S Moses Blood Bank,0.0,0.0,2,3,1,3,3,3,1,3,"['2025-10-28', '2025-11-17']"
M/S AVM Hospital Blood Bank,0.0,0.0,3,5,6,2,3,2,6,1,"['2025-11-04', '2025-11-14']"
Southern Railway Hospital Blood Bank,10.784568,78.725301,5,6,2,2,1,6,5,3,"['2025-11-01', '2025-11-16']"
Bharath Heavy Electricals Limited Hospital Blood Bank,0.0,0.0,6,1,6,1,5,6,3,2,"['2025-10-26', '2025-11-18']"
Mahathma Gandhi Memorial Government Hospital Blood Bank,10.811588,78.677458,6,3,4,4,5,2,6,6,"['2025-10-26', '2025-11-10']"
KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),10.802301,78.680138,4,6,4,6,3,5,6,6,"['2025-10-28', '2025-11-16']"
Bharath Blood Bank  ,10.819196,78.676748,6,3,3,6,3,3,4,3,"['2025-11-03', '2025-11-20']"
Friends Blood Bank,0.0,0.0,2,5,6,2,6,6,2,3,"['2025-11-05', '2025-11-15']"
Victory Blood Bank,0.0,0.0,2,3,5,1,2,1,5,6,"['2025-11-04', '2025-11-18']"
Doctors Blood Bank and Research Centre ,0.0,0.0,1,3,1,5,6,2,1,3,"['2025-11-02', '2025-11-20']"
Chennai Medical College Hospital and Research Centre,10.954422,78.754891,2,5,4,2,4,2,2,1,"['2025-10-28', '2025-11-10']"
Government Headquarters Hospital Blood Bank,10.604228,78.437862,3,6,4,6,2,6,2,4,"['2025-11-08', '2025-11-11']"
Church of South India Mission General Hospital Blood Bank,10.830302,78.67675,2,1,6,2,4,1,5,2,"['2025-10-29', '2025-11-15']"
Child Jesus Hospital Blood Bank,10.805162,78.686566,6,6,5,3,1,6,6,6,"['2025-10-27', '2025-11-20']"
Blood Bank of Shavana,0.0,0.0,2,4,3,6,1,4,4,4,"['2025-10-31', '2025-11-19']"
M/S Apollo Speciality Hospitals Blood Bank,0.0,0.0,2,6,2,4,3,2,4,3,"['2025-11-04', '2025-11-18']"
Government Hospital Blood Bank,8.702599,77.385988,4,6,5,2,3,5,3,1,"['2025-11-01', '2025-11-10']"
Bethel Blood Bank,0.0,0.0,1,4,5,5,4,2,2,6,"['2025-10-27', '2025-11-13']"
Government Hospital Blood Bank,9.167302,77.535764,6,6,1,6,6,4,2,2,"['2025-10-28', '2025-11-09']"
Government Head Quarters Hospital Blood Bank,8.952567,77.315522,4,2,4,2,2,2,1,4,"['2025-11-04', '2025-11-09']"
Shifa Hospitals Blood Bank,8.728161,77.710143,1,2,1,4,6,3,3,6,"['2025-11-05', '2025-11-14']"
Tirunelveli Medical College Hospital Blood Bank,8.711749,77.75082,5,3,1,5,1,4,4,2,"['2025-10-28', '2025-11-20']"
Kartheek Nursing Home Blood Bank,8.704073,77.738605,5,1,6,2,5,2,6,3,"['2025-10-27', '2025-11-11']"
Life Line Blood Bank Component and Research Centre ,8.729758,77.719592,2,2,5,2,2,1,6,5,"['2025-10-29', '2025-11-21']"
Aarthi Hospital and Diagnostic Centre Blood Bank,8.716055,77.749882,3,3,5,1,6,4,4,6,"['2025-10-29', '2025-11-21']"
Galaxy Hospital Blood Bank,8.733836,77.723049,6,2,6,1,3,3,5,1,"['2025-10-29', '2025-11-17']"
Sardar Raja Mission Hospital Blood Bank,0.0,0.0,3,1,4,1,5,1,5,6,"['2025-10-30', '2025-11-19']"
M/S Annai Blood Bank,0.0,0.0,3,1,4,5,6,4,2,2,"['2025-11-07', '2025-11-14']"
Government Hospital Blood Bank,10.732509,77.530473,1,4,3,5,3,1,2,1,"['2025-10-30', '2025-11-23']"
Revathy Medical Centre Blood Bank,11.120178,77.32933,5,6,1,4,2,6,5,4,"['2025-11-05', '2025-11-14']"
DSK Hospital Blood Bank,11.103261,77.369155,3,6,3,6,4,4,4,3,"['2025-10-26', '2025-11-09']"
Sri Kumaran Hospital Blood Bank,0.0,0.0,2,6,2,5,1,5,2,5,"['2025-10-30', '2025-11-21']"
Government Head Quarters Hospital Blood Bank,11.076008,77.36898,6,1,1,2,5,1,5,5,"['2025-11-02', '2025-11-12']"
Government Hospital Blood Bank,10.583823,77.247247,3,3,4,5,4,5,5,4,"['2025-10-28', '2025-11-11']"
Udumalpet Indian Medical Association Rotary Blood Bank,10.586364,77.255039,3,6,2,3,3,3,1,1,"['2025-11-04', '2025-11-16']"
Government Medical College Hospital Blood Bank,12.225476,79.064744,6,3,6,5,3,3,1,3,"['2025-11-06', '2025-11-15']"
ST Thomas Hospital Blood Bank and Leprosy Centre,12.466265,79.335994,3,6,4,6,1,3,2,6,"['2025-10-31', '2025-11-16']"
Government Medical College Hospital Blood Bank,12.845971,79.135775,1,4,6,5,5,4,4,5,"['2025-11-03', '2025-11-10']"
Government Hospital Blood Bank,12.786665,78.716928,1,2,5,4,4,3,2,4,"['2025-10-30', '2025-11-10']"
Bethesda Hospital Blood Bank,12.778149,78.720022,5,2,2,5,6,6,2,3,"['2025-10-30', '2025-11-14']"
Government Hospital Blood Bank Arakonam,0.0,0.0,5,4,3,1,4,5,1,6,"['2025-11-06', '2025-11-12']"
Government Hospital Blood Bank,12.945268,78.870574,3,5,4,3,1,5,4,5,"['2025-11-06', '2025-11-17']"
Government Head Quarters Hospital Blood Bank,12.49646,78.565713,6,2,5,5,2,6,4,1,"['2025-10-27', '2025-11-11']"
Government Hospital Blood Bank,12.676583,78.615933,6,3,1,1,1,3,6,5,"['2025-10-31', '2025-11-09']"
CMC Hospital Blood Bank,12.92504,79.136105,5,4,6,3,6,2,6,5,"['2025-10-28', '2025-11-18']"
Masonic Blood Bank,12.930498,79.135092,6,2,5,1,2,6,4,1,"['2025-11-02', '2025-11-09']"
Sri Narayani Hospital and Research Centre Blood Bank,12.870762,79.089846,4,6,6,4,2,1,1,2,"['2025-11-07', '2025-11-19']"
Government Head Quarters Hospital Blood Bank,12.926168,79.356628,1,3,5,4,5,3,1,2,"['2025-11-05', '2025-11-22']"
Government Head Quarters Hospital Blood Bank,11.737301,78.959375,6,3,2,3,2,5,4,6,"['2025-10-26', '2025-11-20']"
Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,12.434226,79.81321,3,2,5,4,5,3,6,6,"['2025-11-04', '2025-11-20']"
Government Hospital Blood Bank,12.241136,79.651734,6,6,2,3,2,5,2,6,"['2025-11-04', '2025-11-13']"
St Joseph Hospital Blood Bank,12.219359,79.654492,2,3,6,5,4,1,3,2,"['2025-10-28', '2025-11-18']"
Government Hospital Blood Bank,11.692762,79.285932,2,5,3,5,5,3,6,1,"['2025-11-02', '2025-11-09']"
Balaji KMR Charitable Trust Blood Bank,0.0,0.0,5,5,2,4,1,3,3,4,"['2025-11-04', '2025-11-20']"
Government Villupuram Medical College and Hospital Blood Bank,11.992895,79.516782,6,5,1,2,4,3,2,3,"['2025-10-27', '2025-11-23']"
GN Blood Bank,11.939851,79.487355,2,6,3,6,5,5,1,4,"['2025-11-04', '2025-11-13']"
Government Hospital Blood Bank,9.502673,78.097224,4,2,5,4,2,3,1,2,"['2025-11-02', '2025-11-21']"
Government Hospital Blood Bank,9.41412,77.597374,2,1,1,4,4,3,1,1,"['2025-10-26', '2025-11-14']"
Sai Blood Bank and Clinical Laboratory,0.0,0.0,2,4,3,3,1,6,5,3,"['2025-11-07', '2025-11-23']"
Sri PAC Ramasamy Raja Rotary Blood Bank (Run by Rajapalayam rotary),0.0,0.0,3,4,2,2,5,6,1,4,"['2025-11-04', '2025-11-10']"
Government Hospital Blood Bank,9.460615,77.786369,1,5,5,4,5,6,5,5,"['2025-10-28', '2025-11-19']"
Sri Annai Blood Bank,0.0,0.0,1,2,2,6,6,3,1,2,"['2025-10-31', '2025-11-20']"
Virudhunagar Hindu Nadar V Dhanasamy Parimala Devi Medical Trust Blood Bank,0.0,0.0,1,5,6,6,3,5,6,5,"['2025-11-06', '2025-11-20']"
Government Head Quarters Hospital Blood Bank,9.588385,77.961917,3,5,6,3,1,2,4,2,"['2025-10-28', '2025-11-23']"
Rajiv Gandhi Institute of Medical Sciences Blood Bank,19.664144,78.524732,5,2,1,3,5,5,2,5,"['2025-10-30', '2025-11-18']"
Sri Lakshmi Blood bank,0.0,0.0,1,5,5,6,1,5,4,5,"['2025-11-03', '2025-11-17']"
Indian Red Cross Society Blood Bank,18.87247,79.444699,3,2,4,5,5,3,3,6,"['2025-11-05', '2025-11-14']"
Singareni Collieries Co. Ltd Blood bank,19.063129,79.487441,3,3,2,1,3,4,1,1,"['2025-11-05', '2025-11-16']"
Indian Red Cross Society Blood Bank,19.664062,78.532011,1,6,1,3,5,3,6,4,"['2025-11-08', '2025-11-10']"
The Singareni Collieries Co. Ltd,19.664062,78.532011,3,4,2,4,4,2,6,3,"['2025-11-07', '2025-11-12']"
Prime Hospital Blood Bank,0.0,0.0,6,5,6,1,5,5,5,5,"['2025-10-29', '2025-11-14']"
Image Hospital Blood Bank ,0.0,0.0,6,6,4,4,1,5,6,5,"['2025-10-30', '2025-11-10']"
Challa Hospital Blood Bank (A Multi Speciality Hospital),17.439581,78.450633,3,3,5,4,2,6,6,1,"['2025-11-02', '2025-11-12']"
Aarohi Blood Bank,17.411615,78.449834,4,1,5,6,6,6,2,5,"['2025-11-05', '2025-11-21']"
Institute of Transfusion Medicine and Research,17.42114,78.449212,5,3,2,5,5,6,4,2,"['2025-11-05', '2025-11-16']"
NTR Trust Blood Bank,17.423643,78.425977,5,3,5,5,1,1,6,3,"['2025-11-05', '2025-11-22']"
Care Hospital Blood Bank,17.412542,78.450258,1,3,2,2,4,1,4,5,"['2025-11-07', '2025-11-19']"
 Star Hospitals Blood Bank,17.41567,78.439477,3,3,4,6,2,6,2,1,"['2025-11-05', '2025-11-18']"
Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank,0.0,0.0,4,6,2,6,3,4,1,4,"['2025-11-05', '2025-11-15']"
Mythri Charitable Trust Blood Bank and Transfusion Centre,17.391514,78.497215,5,4,5,4,3,2,3,4,"['2025-11-03', '2025-11-22']"
Sanjeevini Blood Bank,17.405787,78.499215,6,1,6,4,6,2,4,4,"['2025-10-25', '2025-11-14']"
Sai Vani Super Speciality Hospital Blood Bank ,0.0,0.0,4,3,5,5,2,4,3,4,"['2025-10-31', '2025-11-20']"
The Military Hospital Blood Bank,0.0,0.0,3,5,1,5,3,5,3,4,"['2025-11-02', '2025-11-13']"
Rudhira Voluntary Blood Bank,17.406011,78.478212,2,1,5,6,4,4,4,2,"['2025-11-07', '2025-11-21']"
Satya Nursing Home Blood Bank,17.404758,78.482139,1,3,6,5,2,5,3,3,"['2025-11-04', '2025-11-16']"
Nizams Institute of Medical Sciences Blood Bank,17.421241,78.451389,6,3,6,2,1,3,4,1,"['2025-10-28', '2025-11-17']"
The Osmania General Hospital Blood Bank,17.372522,78.473807,3,6,6,2,1,3,5,6,"['2025-10-30', '2025-11-19']"
MNJ  Institute of Oncology and Regional Cancer Centre Blood Bank,17.398812,78.462087,2,2,2,1,2,3,1,5,"['2025-11-08', '2025-11-20']"
General Chest Hospital,17.445384,78.434951,1,3,2,2,6,1,6,1,"['2025-11-08', '2025-11-12']"
Lions Club of Hyderabad(East) Bhanji Kheraj Blood Bank,17.520718,78.440959,1,6,6,2,1,4,4,6,"['2025-10-30', '2025-11-20']"
Blood Bank Thelasemia and Sickle Cell,17.385044,78.486671,2,5,5,5,2,3,3,1,"['2025-11-04', '2025-11-18']"
Andhra Mahila Sabha Durgabhai Deshmukh Hospital & Blood Bank,17.4025,78.509832,1,1,1,2,1,3,1,2,"['2025-11-05', '2025-11-09']"
Share Medical Care (Mediciti Hospital) Blood Bank,17.406546,78.471614,2,6,6,2,3,5,3,3,"['2025-11-03', '2025-11-18']"
Mahavir Hospital and Research Centre Blood Bank,0.0,0.0,5,1,4,5,2,2,6,6,"['2025-10-29', '2025-11-20']"
Aditya Hospital Blood Bank,17.390308,78.481143,3,1,2,6,6,6,2,1,"['2025-10-28', '2025-11-15']"
Himabindhu Multispeciality Hospital Blood Bank,17.352329,78.506534,6,4,2,4,3,5,4,1,"['2025-11-07', '2025-11-16']"
Genetic Products Charitable Association Blood Bank,0.0,0.0,2,3,1,4,5,2,2,5,"['2025-10-30', '2025-11-16']"
Thalassemia and Sickle Cell Society Vuppala Venkaiah Memorial Blood Bank,17.368886,78.480146,2,5,3,3,5,5,3,2,"['2025-10-28', '2025-11-20']"
NEW LIFE EDUCATIONAL SOCIETY BLOOD BANK ,17.37694,78.34905,2,2,6,5,2,6,3,2,"['2025-11-03', '2025-11-09']"
Apollo Hospital Blood Bank,17.415057,78.416515,3,1,4,3,3,2,5,3,"['2025-10-25', '2025-11-22']"
Employees State Insurance Corporation Medical College Hospital Blood Bank,17.447882,78.439955,5,5,1,2,2,3,5,5,"['2025-10-31', '2025-11-12']"
Venus Hospital Blood Bank,0.0,0.0,1,1,6,2,6,5,6,6,"['2025-10-30', '2025-11-10']"
Yashoda Super Speciality Hospitals Blood Bank,17.424342,78.457724,4,1,5,2,3,4,4,6,"['2025-11-01', '2025-11-21']"
Apollo Hospital Enterprises Ltd,17.39928,78.479256,4,3,1,6,2,6,4,2,"['2025-10-25', '2025-11-19']"
Lions Club Matadin Goel Blood Bank,17.403106,78.479609,5,2,1,4,2,3,4,4,"['2025-10-26', '2025-11-15']"
Chiranjeevi Blood Bank,17.428205,78.416539,5,1,5,6,1,1,2,3,"['2025-11-07', '2025-11-21']"
Owaisi Medical and Research Centre,17.34132,78.506714,6,1,1,5,4,6,4,5,"['2025-11-08', '2025-11-18']"
"Apollo Hospital Enterprises Ltd, Apollo DRDO Hospital Blood Bank",0.0,0.0,1,5,2,3,6,6,4,6,"['2025-11-04', '2025-11-16']"
Kamineni Health Services Pvt.Ltd. Blood Bank,17.392587,78.479728,4,6,4,3,6,6,3,3,"['2025-10-31', '2025-11-21']"
The Government  Maternity Hospital,17.385808,78.48723,2,6,1,2,2,5,3,6,"['2025-11-01', '2025-11-19']"
Global Hospital Blood Bank,17.405254,78.463164,2,6,3,6,5,4,3,2,"['2025-11-03', '2025-11-20']"
Sri Balaji Blood Bank (A Unit of Sri Balaji Educational Society),17.375363,78.497278,4,3,4,1,4,4,5,3,"['2025-10-31', '2025-11-20']"
Vivekananda Environmental International Society Social Service Blood Bank,0.0,0.0,2,2,1,5,5,2,4,3,"['2025-10-30', '2025-11-09']"
Premier Hospital Blood Bank,17.391657,78.427008,1,2,1,5,4,3,3,5,"['2025-11-06', '2025-11-17']"
Jaya Diagnostic Research Centre Medwin Hospital Blood Bank,0.0,0.0,1,5,6,4,2,2,5,3,"['2025-10-28', '2025-11-15']"
Care Hospital Blood Bank (A Unit of Quality Care India Limited),0.0,0.0,6,3,1,5,6,4,6,4,"['2025-11-06', '2025-11-12']"
Institute of Preventive Medicine,17.393915,78.490331,5,1,3,1,3,5,6,5,"['2025-11-03', '2025-11-22']"
M G M H BLOOD BANK (Government Modern Maternity Hospital),17.365982,78.464893,2,3,1,4,3,2,2,3,"['2025-11-05', '2025-11-13']"
Rakshita Voluntary Blood Bank,17.381461,78.480605,5,6,6,6,5,5,6,5,"['2025-10-29', '2025-11-16']"
The Govt. Niloufer Hospital Blood Bank,17.398649,78.461057,2,1,5,3,1,6,5,5,"['2025-10-27', '2025-11-23']"
"Health, Agriculture, Rural Development Society (HARD)  Blood Bank",17.396159,78.463155,1,4,6,3,6,5,5,4,"['2025-11-06', '2025-11-12']"
The ESI Hospital Blood Bank,17.456588,78.426852,4,5,4,3,6,5,4,5,"['2025-10-28', '2025-11-10']"
St. Theresa&#39;s Hospital Blood Bank,17.451375,78.436556,3,2,1,1,5,6,2,1,"['2025-11-07', '2025-11-10']"
Gandhi Hospital Blood Bank,17.42323,78.504138,6,6,5,3,6,3,1,6,"['2025-10-26', '2025-11-14']"
Lions Club of Secunderabad Twin Cities,17.432643,78.490824,5,4,4,1,5,2,4,1,"['2025-10-31', '2025-11-16']"
Yashoda Hospital (A Unit of Datta Chandra Hospital Pvt. Ltd.)  Blood Bank,17.441664,78.497002,6,5,2,2,3,1,5,3,"['2025-10-31', '2025-11-12']"
South Central Railway Hospital,0.0,0.0,1,5,2,5,4,3,2,1,"['2025-11-03', '2025-11-13']"
Andrha Pradesh State Road Transport Corporation Hospital Blood Bank,0.0,0.0,3,5,1,5,4,5,5,6,"['2025-11-02', '2025-11-14']"
Vivekananda Environmental International Society Social Service Blood Bank,17.440396,78.500468,1,5,6,4,4,2,1,5,"['2025-11-03', '2025-11-21']"
Janani Voluntary Blood Bank (A Unit of Janani Organization),17.441361,78.500984,2,2,3,5,6,2,6,2,"['2025-10-30', '2025-11-11']"
Military Hospital Blood Bank,0.0,0.0,3,6,5,1,1,6,3,5,"['2025-11-03', '2025-11-19']"
Krishna Institute of Medical Sciences Blood Bank,17.437572,78.482096,5,6,1,3,3,3,5,6,"['2025-11-06', '2025-11-19']"
Jeevadhara Voluntary Blood Bank (A Unit of Jeevadhaara Society),17.435457,78.502918,3,4,2,6,5,4,1,2,"['2025-11-05', '2025-11-09']"
Sunshine Hospital Blood Bank,17.44101,78.486923,5,6,3,5,1,1,2,2,"['2025-10-31', '2025-11-22']"
Sri Devi Charitable Trust Blood Bank,17.424972,78.535869,3,2,3,4,4,1,2,5,"['2025-10-25', '2025-11-14']"
Princess Esra Hospital Blood Bank,17.356461,78.474211,1,5,5,3,4,1,3,5,"['2025-11-03', '2025-11-10']"
Asian Institute of Gastroentrology Blood Bank,0.0,0.0,3,1,2,6,5,4,2,5,"['2025-11-04', '2025-11-09']"
RTC Hospital,17.425416,78.530499,6,6,5,2,6,6,2,1,"['2025-11-04', '2025-11-15']"
Indian Red Cross Society Blood Bank,17.405048,78.508731,1,3,3,4,1,2,3,5,"['2025-11-03', '2025-11-22']"
Chalmeda Ananda Rao Institute of Medical Sciences Blood Bank,18.45324,79.165083,3,1,4,5,6,4,2,3,"['2025-11-01', '2025-11-18']"
Singareni Collieries Co.Ltd Blood Bank,18.75955,79.481638,4,2,5,5,3,5,6,1,"['2025-10-31', '2025-11-15']"
Nelavelly Blood Bank,0.0,0.0,4,5,1,4,1,6,3,4,"['2025-11-04', '2025-11-22']"
"Indian Red Cross Society Jagityal, Blood Bank",18.438555,79.128841,1,2,6,2,6,5,6,3,"['2025-10-31', '2025-11-09']"
Government District Head Quarters Hospital Blood Bank,18.438555,79.128841,1,1,2,6,4,3,4,3,"['2025-11-06', '2025-11-22']"
Indian Red Cross Society Blood Bank,18.438555,79.128841,2,3,6,4,2,6,5,6,"['2025-11-01', '2025-11-12']"
Life Care Voluntary Blood Bank,18.443293,79.12973,3,4,3,6,1,4,2,4,"['2025-10-29', '2025-11-21']"
Prathima Institute of Medical Sciences Blood Bank,18.498565,79.151148,5,6,2,4,6,6,3,5,"['2025-10-29', '2025-11-20']"
Apollo Reach Hospitals - Apollo Blood Bank,18.454907,79.13294,2,1,2,3,6,6,3,5,"['2025-11-05', '2025-11-19']"
The Government Area Hospital Blood Bank,17.584049,80.332784,5,4,5,3,6,5,5,5,"['2025-10-30', '2025-11-11']"
The APVVP District Head Quarters Hospital Blood Bank,17.247253,80.151445,5,1,4,5,6,3,1,2,"['2025-11-01', '2025-11-12']"
Rudhira Voluntary Blood Bank,17.769321,80.499386,4,1,3,5,1,1,6,2,"['2025-11-05', '2025-11-13']"
Mamata General Hospital Blood Bank,0.0,0.0,5,4,1,1,6,3,2,6,"['2025-11-05', '2025-11-20']"
Siva Multi Speciality Hospital Blood Bank,17.2508,80.144151,3,6,6,2,6,1,2,4,"['2025-10-27', '2025-11-21']"
The Government Area Hospital Blood Bank,17.249377,80.152006,2,1,4,6,2,4,2,2,"['2025-11-08', '2025-11-22']"
The Singareni Collieries  Co. Ltd,17.247253,80.151445,4,6,4,3,2,5,4,1,"['2025-10-30', '2025-11-10']"
